Crop,Nitrogen,Phosphorus,Potassium,pH,Temperature,Humidity,Rainfall,Irrigation,Yield_Tonnes_Per_Hectare
Rice,156.0,65.8,51.5,5.61,21.3,57.6,2705.6,Sprinkler,2.12
Rice,112.8,30.3,30.7,4.63,26.8,61.6,2460.6,Flood,2.02
Rice,139.2,36.5,47.9,6.74,19.0,82.3,1175.2,Drip,2.68
Rice,86.9,57.3,48.3,5.0,22.9,73.7,1273.4,Rainfed,1.94
Rice,112.3,55.6,33.5,7.72,34.3,97.3,2768.6,Sprinkler,2.22
Rice,143.6,45.1,37.7,6.61,21.0,91.1,964.0,Rainfed,1.28
Rice,79.7,25.8,61.0,7.04,33.3,89.7,962.9,Sprinkler,2.23
Rice,121.1,55.5,56.6,6.44,22.0,85.0,2141.2,Rainfed,2.21
Rice,137.8,52.7,48.2,6.31,18.5,59.9,869.1,Sprinkler,2.48
Rice,84.8,48.1,58.4,5.79,19.6,68.0,1154.7,Rainfed,1.67
Rice,123.8,73.4,60.5,5.69,36.7,79.3,2576.4,Flood,1.97
Rice,36.2,16.2,5.1,6.52,27.1,67.8,1179.8,Rainfed,1.72
Rice,92.6,50.8,51.1,6.23,45.8,93.7,1377.7,Sprinkler,2.5
Rice,86.6,79.2,43.4,5.29,25.2,83.5,2297.6,Sprinkler,2.46
Rice,115.6,58.1,29.0,6.16,23.1,91.1,1834.7,Rainfed,2.25
Rice,74.8,53.5,55.8,7.43,24.8,64.9,2364.5,Flood,2.22
Rice,69.3,77.2,42.8,6.55,35.6,85.4,2417.5,Drip,2.93
Rice,138.8,50.7,37.8,7.49,36.4,34.0,358.9,Rainfed,1.27
Rice,21.2,14.4,16.7,7.27,33.3,82.5,1126.2,Rainfed,1.61
Rice,97.3,77.2,67.9,5.94,24.4,76.9,1786.5,Rainfed,2.13
Rice,86.6,43.0,52.4,4.78,34.4,83.0,1852.5,Rainfed,2.11
Rice,119.4,79.3,46.7,7.56,27.1,70.8,2219.2,Flood,2.3
Rice,82.9,53.0,50.4,7.2,18.9,98.0,1833.9,Drip,2.92
Rice,93.1,55.9,50.4,7.75,19.6,68.8,1220.0,Drip,2.69
Rice,97.3,47.2,62.2,7.62,19.5,64.4,2276.5,Sprinkler,2.32
Rice,145.6,33.0,56.3,6.64,24.2,73.9,1363.7,Sprinkler,2.51
Rice,30.1,7.5,5.9,6.29,20.9,91.0,1041.4,Sprinkler,2.02
Rice,15.0,17.8,15.9,7.22,24.3,61.4,1454.9,Flood,1.84
Rice,36.5,8.5,17.5,6.41,34.3,66.8,1617.0,Flood,2.26
Rice,111.9,43.3,60.1,5.9,27.2,58.5,855.8,Rainfed,1.57
Rice,130.1,48.0,33.0,5.61,23.3,79.7,2372.1,Flood,2.29
Rice,102.1,39.1,41.0,7.17,18.3,60.2,901.2,Drip,2.84
Rice,130.9,51.6,29.8,6.48,27.9,62.8,1754.5,Sprinkler,3.14
Rice,113.8,50.1,55.7,6.82,22.8,21.8,274.8,Rainfed,1.53
Rice,126.1,57.1,47.2,5.76,44.9,88.7,1938.9,Drip,2.74
Rice,129.1,30.9,54.4,6.06,22.0,84.4,1943.4,Rainfed,1.93
Rice,134.1,69.7,37.8,5.66,33.8,91.3,2979.1,Sprinkler,2.35
Rice,154.0,72.7,44.2,7.15,33.8,59.6,2785.6,Sprinkler,2.2
Rice,92.0,74.8,42.4,5.23,37.0,59.1,1502.5,Rainfed,1.84
Rice,105.0,41.6,39.8,6.95,33.8,90.6,2537.2,Drip,2.95
Rice,65.3,55.7,44.7,7.51,25.4,60.3,1114.6,Flood,2.16
Rice,85.6,45.9,56.8,5.79,28.7,68.2,1872.0,Rainfed,2.17
Rice,148.9,38.5,65.0,6.74,25.4,86.9,1859.7,Sprinkler,2.58
Rice,103.6,39.5,43.1,6.69,33.6,89.5,2610.1,Flood,2.51
Rice,83.6,47.5,46.3,5.42,29.1,74.6,2564.6,Rainfed,1.75
Rice,139.5,33.0,46.6,7.44,28.9,82.0,2043.6,Rainfed,2.06
Rice,123.2,57.6,64.7,5.32,23.9,97.8,2758.6,Sprinkler,2.12
Rice,97.2,39.2,38.0,6.22,24.4,31.3,61.3,Rainfed,1.48
Rice,101.2,58.7,37.3,5.55,19.6,97.3,1716.6,Sprinkler,2.66
Rice,34.9,11.2,17.8,6.25,32.7,73.8,2243.7,Drip,2.56
Rice,107.1,48.3,37.4,5.35,36.2,91.6,2999.4,Rainfed,1.9
Rice,145.7,39.1,45.1,5.54,38.0,82.3,1303.0,Flood,2.18
Rice,95.9,31.7,54.7,6.55,34.2,78.4,2674.8,Sprinkler,2.67
Rice,73.1,27.1,58.3,6.81,32.8,64.6,1100.0,Drip,2.74
Rice,119.4,47.1,44.5,7.55,25.3,78.1,2524.0,Sprinkler,2.65
Rice,74.4,76.5,46.9,5.87,27.6,98.0,1883.8,Drip,2.99
Rice,83.9,29.7,31.1,5.53,21.2,61.2,2209.9,Drip,2.68
Rice,127.3,35.0,33.9,5.31,21.5,67.5,1189.4,Drip,2.53
Rice,21.4,16.6,6.7,6.16,25.5,63.2,1721.7,Sprinkler,2.4
Rice,78.2,37.0,41.6,6.46,31.0,71.6,1817.6,Flood,2.56
Rice,119.9,65.8,45.4,6.56,40.6,75.7,1798.9,Flood,2.5
Rice,36.9,6.2,12.0,5.97,25.8,76.6,1532.7,Drip,2.41
Rice,68.3,55.0,51.0,7.14,27.1,60.7,1424.3,Sprinkler,2.8
Rice,159.6,58.8,35.8,5.46,21.2,66.1,1153.5,Drip,2.69
Rice,77.1,74.8,29.0,6.56,26.6,98.0,1046.5,Sprinkler,2.52
Rice,127.5,58.7,46.1,6.45,45.0,67.2,2452.0,Rainfed,1.96
Rice,111.0,38.8,30.5,6.79,24.1,81.2,1139.6,Sprinkler,2.6
Rice,73.1,29.0,68.6,6.04,35.0,66.5,2299.3,Flood,2.17
Rice,107.4,48.2,40.7,7.62,35.4,98.0,1073.5,Flood,2.28
Rice,144.9,33.2,60.1,5.72,21.4,62.4,2592.1,Flood,2.01
Rice,95.9,73.7,42.6,7.32,27.2,72.0,1817.9,Drip,3.03
Rice,22.5,11.9,5.9,5.96,29.2,75.1,1499.2,Flood,2.19
Rice,73.6,69.2,52.5,6.59,36.8,90.5,1133.7,Drip,2.84
Rice,123.4,65.1,40.3,7.14,21.9,41.2,94.6,Rainfed,1.19
Rice,140.4,33.7,35.5,7.08,33.1,83.9,2326.7,Sprinkler,2.4
Rice,94.0,39.1,42.7,6.08,30.5,42.8,98.7,Rainfed,1.28
Rice,10.6,16.3,17.1,6.63,31.8,92.3,2060.9,Sprinkler,2.21
Rice,121.6,67.4,57.8,6.4,40.7,94.5,2258.3,Sprinkler,2.63
Rice,93.2,42.6,35.4,6.78,26.0,88.5,1252.3,Flood,2.41
Rice,147.1,76.3,45.8,6.45,37.3,81.4,872.3,Rainfed,1.38
Rice,25.9,10.4,16.9,6.22,29.9,82.1,1019.6,Drip,2.44
Rice,116.1,72.8,48.8,5.68,24.3,68.9,1674.1,Sprinkler,2.68
Rice,95.0,51.3,52.7,6.18,35.6,81.4,1446.9,Flood,2.76
Rice,109.9,67.6,30.0,6.07,19.6,88.9,1399.1,Flood,2.53
Rice,140.8,79.3,62.0,7.45,26.6,79.8,1358.6,Drip,2.9
Rice,117.3,74.3,49.7,7.07,34.9,98.0,2127.0,Flood,2.35
Rice,155.4,33.3,43.2,6.04,19.8,83.5,2419.0,Flood,2.28
Rice,122.9,44.0,61.4,6.14,18.7,92.4,1559.4,Flood,2.48
Rice,146.9,37.6,67.9,7.23,20.4,80.5,2967.8,Sprinkler,2.08
Rice,134.8,63.9,43.0,5.77,31.5,74.0,1091.0,Rainfed,1.79
Rice,128.8,70.7,48.5,7.32,28.5,58.0,1691.5,Sprinkler,2.69
Rice,133.0,65.0,47.9,6.7,44.0,66.1,2371.6,Sprinkler,2.42
Rice,137.7,48.7,40.9,7.69,21.9,59.1,2496.2,Drip,2.56
Rice,132.7,59.1,66.8,6.23,38.0,61.1,1864.3,Drip,2.97
Rice,75.9,71.8,62.3,7.68,21.2,83.0,1843.3,Drip,2.5
Rice,120.2,50.8,28.8,5.4,18.0,98.0,811.6,Drip,2.26
Rice,141.5,78.4,59.9,7.0,28.9,58.9,2908.0,Flood,2.23
Rice,124.2,79.4,64.8,6.88,32.6,57.3,2273.8,Drip,2.81
Rice,160.9,56.1,46.1,6.01,20.5,87.9,1223.7,Drip,2.83
Rice,65.1,50.5,48.2,6.88,31.7,71.4,2033.5,Sprinkler,2.72
Rice,113.3,49.8,43.1,6.69,34.9,79.2,2255.6,Flood,2.25
Rice,101.9,50.9,68.6,5.2,21.9,72.3,2851.7,Drip,2.53
Rice,123.7,46.1,44.4,6.76,34.9,94.4,2152.4,Rainfed,1.92
Rice,83.7,31.6,40.9,5.95,24.2,65.5,892.6,Drip,2.53
Rice,102.9,46.6,55.1,5.77,37.9,90.4,996.7,Sprinkler,2.72
Rice,74.5,46.1,55.1,4.28,34.1,64.2,1070.4,Drip,2.37
Rice,40.6,15.7,15.4,6.76,23.7,78.1,1895.9,Drip,2.56
Rice,130.1,34.0,61.0,5.78,22.7,79.2,2104.5,Sprinkler,2.38
Rice,22.5,8.5,11.2,5.59,34.5,61.2,1493.6,Drip,2.12
Rice,97.3,39.8,57.0,6.49,19.7,64.9,2303.2,Drip,2.92
Rice,109.8,51.9,51.3,7.34,25.3,85.5,2044.6,Drip,3.05
Rice,145.8,73.2,56.3,7.38,32.6,85.6,2160.9,Flood,2.21
Rice,137.3,48.6,56.4,5.51,44.9,68.0,2363.1,Sprinkler,2.26
Rice,60.1,41.3,52.3,7.75,31.3,66.7,2194.8,Sprinkler,2.46
Rice,70.4,67.4,49.0,7.7,25.2,83.5,2850.5,Drip,2.46
Rice,81.6,60.8,51.3,6.45,40.3,62.6,2278.6,Sprinkler,2.59
Rice,157.8,66.7,31.2,7.17,18.5,56.0,1511.9,Sprinkler,2.42
Rice,87.3,80.3,44.0,6.37,21.4,90.8,2326.1,Drip,2.93
Rice,115.8,40.9,58.5,4.18,27.3,93.0,1629.6,Flood,2.11
Rice,133.0,66.5,34.2,7.46,33.0,80.3,1837.4,Sprinkler,2.51
Rice,37.8,15.1,15.0,7.19,32.9,81.9,1196.9,Drip,2.32
Rice,29.4,8.2,12.3,5.95,22.7,82.8,1488.9,Sprinkler,2.0
Rice,91.0,50.5,26.0,5.39,26.2,76.6,2120.0,Drip,2.93
Rice,63.5,51.9,30.1,5.83,38.7,61.4,1897.6,Sprinkler,2.54
Rice,116.3,26.0,39.7,6.55,19.8,70.8,873.0,Drip,2.63
Rice,129.5,69.5,34.2,5.64,20.2,83.6,2354.2,Drip,2.53
Rice,64.8,55.3,56.3,7.46,33.0,91.1,1546.8,Flood,2.44
Rice,124.8,54.5,57.3,5.41,19.3,66.1,1151.0,Flood,2.15
Rice,122.1,64.9,43.0,4.05,22.7,60.7,1979.9,Drip,2.51
Rice,66.8,27.2,36.7,6.4,36.2,87.7,2434.0,Sprinkler,2.51
Rice,97.2,79.8,27.2,7.45,30.2,74.7,2395.6,Sprinkler,2.26
Rice,152.1,37.1,52.6,6.84,33.4,60.9,2374.8,Rainfed,1.84
Rice,96.1,50.5,42.4,4.08,27.4,63.4,1607.5,Sprinkler,2.42
Rice,76.1,47.0,67.7,5.87,31.8,69.6,2501.6,Drip,2.74
Rice,105.6,38.5,28.7,5.64,28.9,70.2,2623.5,Sprinkler,2.62
Rice,76.5,34.7,27.1,7.11,31.9,76.4,2657.2,Flood,2.02
Rice,147.6,36.8,30.4,5.9,19.2,78.9,2860.5,Drip,2.35
